keyword,tfidf_weight
ai,0.16278891456917277
있도록,0.1286115435269178
있습니다,0.12588832897159666
있는,0.11843297936710556
최신,0.09671630289563882
실전,0.07833768363449467
필요한,0.0766202689008026
핵심,0.0737053904131115
함께,0.07354791694570063
방법을,0.0703967613867712
데이터,0.07011106112261513
어떻게,0.06982718676458277
직접,0.06878736007009424
쉽게,0.06712793687700079
모든,0.06678587609791786
내용을,0.06634870586344468
또한,0.06616767514823954
학습,0.06416911118388288
같은,0.06362199652664588
실제,0.06049814544697689
위해,0.05890947860750284
어떤,0.058148108004293333
싶은,0.0567408504461387
실무,0.05630612187905212
시험에,0.05558181265711123
문제를,0.053585131818626855
문제,0.05127606061148364
아니라,0.050497752119931474
특히,0.044984462422217084
빠르게,0.0440366080138152
